V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
59501 2007 8 17 10011 10024 9993 274 315 253 317 87 64 95 32766 30 23 64 5 107 5 62 
59501 2007 8 18 9978 10006 9957 290 330 253 316 80 59 32700 32766 37 22 42 11 73 3 74 
59501 2007 8 19 9972 9993 9949 283 306 258 302 79 67 46 32766 34 23 64 12 97 12 17 
59501 2007 8 20 10017 10036 9992 257 280 238 312 95 86 1157 32766 32766 21 66 16 125 16 0 
59501 2007 8 21 10033 10048 10019 274 285 265 332 91 88 4 32766 14 45 57 10 87 10 0 
59501 2007 8 22 10046 10070 10028 266 276 235 308 88 83 170 32766 10 34 76 11 129 11 0 
59501 2007 8 23 10065 10076 10050 265 301 248 321 93 79 684 32766 23 14 56 11 83 9 0 
59501 2007 8 24 10083 10100 10070 273 300 250 310 86 72 6 32766 23 11 29 4 52 3 15 
59501 2007 8 25 10073 10097 10050 274 298 258 306 84 67 1 32766 22 14 34 12 66 7 35 
59501 2007 8 26 10067 10082 10047 281 318 249 299 80 60 0 32766 20 14 44 5 69 5 35 
59501 2007 8 27 10084 10095 10069 280 307 264 315 84 73 15 32766 33 36 62 5 109 5 67 
59501 2007 8 28 10085 10108 10060 285 320 257 313 81 62 59 32766 38 17 50 6 80 6 74 
59501 2007 8 29 10079 10103 10054 288 326 259 308 79 59 0 32766 47 23 36 7 57 6 73 
59501 2007 8 30 10061 10080 10037 287 316 259 313 80 59 0 32766 40 21 52 11 75 11 87 
59501 2007 8 31 10052 10065 10033 288 313 264 306 78 62 0 32766 35 21 53 11 74 11 94 
59501 2007 9 1 10045 10061 10028 291 310 264 299 75 64 0 32766 50 20 45 10 71 10 91 
59501 2007 9 2 10050 10061 10040 263 290 241 302 89 74 186 32766 14 21 42 12 56 12 0 
59501 2007 9 3 10055 10068 10038 268 300 244 303 86 72 1 32766 31 15 45 10 65 11 24 
59501 2007 9 4 10051 10063 10036 271 302 256 310 86 72 1 32766 25 15 43 10 67 9 32 
59501 2007 9 5 10057 10074 10046 264 290 239 258 76 61 258 32766 29 25 57 16 89 16 12 
59501 2007 9 6 10058 10076 10044 265 301 239 245 71 52 32700 32766 44 25 34 3 61 2 26 
59501 2007 9 7 10053 10072 10038 267 290 249 263 76 59 0 32766 44 18 43 6 67 5 4 
59501 2007 9 8 10051 10064 10031 273 307 250 259 72 55 32700 32766 23 23 53 5 90 5 44 
59501 2007 9 9 10053 10066 10030 269 307 247 276 78 60 0 32766 37 30 55 5 88 5 40 
59501 2007 9 10 10065 10076 10050 273 308 250 265 73 57 0 32766 55 33 54 6 92 4 76 
59501 2007 9 11 10064 10085 10044 276 323 249 261 72 51 0 32766 58 24 54 6 89 7 90 
59501 2007 9 12 10061 10076 10045 276 310 248 244 67 45 0 32766 61 31 54 6 93 6 100 
59501 2007 9 13 10061 10075 10042 276 314 244 241 66 46 0 32766 50 22 51 6 76 6 93 
59501 2007 9 14 10048 10070 10021 284 324 242 203 54 25 0 32766 52 19 41 11 63 11 99 
59501 2007 9 15 10030 10047 10014 293 337 246 269 67 45 0 32766 37 17 36 11 54 10 86 
59501 2007 9 16 10040 10054 10027 278 303 261 293 79 57 1 32766 32 15 38 3 66 3 23 
59501 2007 9 17 10047 10067 10027 280 318 255 283 76 50 0 32766 43 21 38 10 64 6 86 
59501 2007 9 18 9997 10043 9962 292 344 258 180 46 30 0 32766 80 43 74 16 129 16 106 
59501 2007 9 19 9993 10019 9975 287 318 264 195 50 39 0 32766 79 27 68 16 116 15 88 
59501 2007 9 20 10049 10062 10019 281 320 254 201 53 44 0 32766 72 39 58 2 112 1 79 
